epoch,test_data,generated_summary
1,"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis .","""Palestinian Authority becomes 123rd member of the International Criminal Court on Wednesday, giving the court jurisdiction over alleged crimes in Palestinian territories. The formal accession was marked with a ceremony at The Hague, in the Netherlands, where the court is based."""
1,"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia .","""A stray dog in Washington State has used up at least three of her own lives after being hit by a car, apparently whacked on the head with a hammer and buried in a field -- only to survive. The dog, a friendly white-and-black bully breed mix named Theia, has been receiving care at the Veterinary Teaching Hospital. She suffered a dislocated jaw, leg injuries and a caved-in sinus cavity -- and still requires surgery to help her breathe. A fundraising page has been set up to help meet the remaining cost of the dog's care, with donors already surpassing the $10,000 target."""
1,"Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister tweets in English .","Mohammad Javad Zarif is the Iranian foreign minister and U.S. Secretary of State John Kerry's opposite number in securing a breakthrough in nuclear discussions that could lead to an end to sanctions against Iran -- if the details can be worked out in the coming weeks. Zarif received a hero's welcome as he arrived in Iran on a sunny Friday morning. Zarif is ""polished"" and ""jovial"" and has gone a long way to bring Iran in from the cold and allow it to rejoin the international community. Zarif was nominated to be foreign minister by Ahmadinejad's successor, Hassan Rouhami. Zarif was outside the country during the demonstrations against the Shah of Iran, which began in 1977, and during the Iranian Revolution, which drove the shah from power in 1979. Zarif left the country in 1977, received his undergraduate degree from San Francisco State University in 1981, his master's in international relations from the University of Denver in 1984 and his doctorate from the University of Denver in 1988. Zarif's children were born in the United States. Zarif is 54, 55 or maybe even 56 years old. Zarif was investigated by the feds over his alleged role in controlling the Alavi Foundation, a charitable organization. Zarif was among the students who took over the Iranian Consulate in San Francisco early in the Iranian Revolution. Zarif has now spent more time with Kerry than any other foreign minister in the world."""
1,"17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the patient is in fair condition after weeks of treatment .","""Rover scheduled to land at 5:31AM (GMT) on Monday morning.
     Scientists say they are 'cautiously optimistic'
     Times Square will show Nasa coverage, while Google will webcast it.
     Mission will search for signs of life on the red planet's surface using a scoop to dig into the soil.
     Five Americans who were monitored for three weeks at an Omaha, Nebraska, hospital after being exposed to Ebola in West Africa have been released, a Nebraska Medicine spokesman said in an email Wednesday. One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area, Taylor Wilson wrote. The others have already gone home. They were exposed to Ebola in Sierra Leone in March, but none developed the deadly virus. They are clinicians for Partners in Health, a Boston-based aid group. They all had contact with a colleague who was diagnosed with the disease and is being treated at the National Institutes of of Maryland. As of Monday, that health care worker is in fair condition. The Centers for Disease Control and Prevention in Atlanta has said the last of 17 patients who were being monitored are expected to be released by Thursday. More than 10,000 people have died in a West African epidemic of Ebola that dates to December 2013, according to the World Health Organization. Almost all the deaths have been in Guinea, Liberia and Sierra Leone. Ebola is spread by direct contact with the bodily fluids of an infected person."""
1,"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
The noose, made of rope, was discovered on campus about 2 a.m.","""A Duke student admitted to hanging a noose made of rope from a tree near a student union, university officials said Thursday. The student is no longer on campus and will face student conduct review. Criminal investigations into the incident are ongoing."""
1,"College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral .","""Rover scheduled to land at 5:31AM (GMT) on Monday morning.
Scientists say they are 'cautiously optimistic'
Times Square will show Nasa coverage, while Google will webcast it.
Mission will search for signs of life on the red planet's surface using a scoop to dig into the soil."""
1,"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .
Organization claims that governments around the world are using the threat of terrorism to advance executions .
The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% .","""Governments around the world are using the threat of terrorism -- real or perceived -- to advance executions, Amnesty International alleges in its annual report on the death penalty. ""The dark trend of governments using the death penalty in a futile attempt to tackle real or imaginary threats to state security and public safety was stark last year,"" said Salil Shetty, Amnesty's Secretary General in a release. ""It is shameful that so many states around the world are essentially playing with people's lives -- putting people to death for 'terrorism' or to quell internal instability on the ill-conceived premise of deterrence."" The report, ""Death Sentences and Executions 2014,"" cites the example of Pakistan lifting a six-year moratorium on the execution of civilians following the horrific attack on a school in Peshawar in December. China is also mentioned, as having used the death penalty as a tool in its ""Strike Hard"" campaign against terrorism in the restive far-western province of Xinjiang."""
1,"Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Police say this is not a criminal matter at this time .","Andrew Getty, one of the heirs to billions of oil money, appears to have died of natural causes, a Los Angeles Police Department spokesman said. The coroner's preliminary assessment is there was no foul play involved in the death of Getty, grandson of oil tycoon J. Paul Getty, said Detective Meghan Aguilar. Andrew Getty, 47, had ""several health issues,"" Aguilar said, adding that an autopsy will be conducted. There is no criminal investigation underway, he said. Some medication had also been recovered from Getty's home, though investigators don't know whether Getty was taking it or what his medical history was, Ed Winter, assistant chief in the Los Angeles County coroner's office, told CNN affiliate KTLA Tuesday night. KTLA reported that Getty was found on his side near a bathroom in his home. Getty's parents, Ann and Gordon Getty, released a statement confirming their son's death and asking for privacy. Andrew Getty had recently filed to get a restraining order against an ex-girlfriend. A hearing in the case had been scheduled for next week. In his request, Getty said he had been diagnosed with a serious medical condition in 2013. ""A rise in my blood pressure places me in grave risk of substantial and irreparable injury or death,"" he wrote in the petition. ""My doctors have advised that heated arguments can cause my blood pressure to rise dangerously."" Andrew Getty had three brothers and three half-sisters. People we've lost in 2015. CNN's Doug Criss, Janet DiGiacomo, Mark Mooney, Mike Love, Julie In and Cheri Mossburg contributed to this report."
1,"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds .
It could still cause flooding, landslides and other problems in the Philippines .","""Filipinos are being warned to be on guard for flash floods and landslides as tropical storm Maysak approaches the Asian island nation. Authorities have taken preemptive steps to keep people safe, including barring outdoor activities and precautionary evacuations. The storm is expected to make landfall Sunday morning on the southeastern coast of Isabela province."""
1,"Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 .","""Rover scheduled to land at 5:31AM (GMT) on Monday morning.
Scientists say they are 'cautiously optimistic'
Times Square will show Nasa coverage, while Google will webcast it.
Mission will search for signs of life on the red planet's surface using a scoop to dig into the soil."""
